name,calendar_year,calendar_id,title,category,sub_category,raw_category,normalized_category,source_file,source_start_line,source_end_line,input_frequency,output_frequency,available_at,required_fields,original_formula,implemented_formula,implementation_status,implementation_notes,implementation_key,proxy_of,duplicate_refs,duplicate_type,default_params,warmup_requirement
calendar2024_1_u8d44_672c_5229_5f97_7a81_51fa_91cf,2024,1,资本利得突出量,动量因子,,动量因子,动量因子,factors2024.md,8,39,1m,1d,T_close,high|low|close|volume|a_share_market_val_in_circulation,"RP_t = \frac{1}{k} \sum_{n=1}^{T} \left( V_{t-n} \prod_{\tau=1}^{n-1} (1 - V_{t-n+\tau}) \right) P_{t-n}

CGO_t = \frac{P_{t-1} - RP_t}{P_{t-1}}",(close-reference_price)/close,exact,按分钟成交量价格分布与日换手存活模型重建筹码分布，价格网格精度1e-4,chip_distribution_metric,,research_report_factors:concept_overlap,concept_overlap,{'metric': 'capital_gain_overhang'},0
calendar2024_2_u65f6_95f4_52a0_6743_5e73_5747_7684_80a1_7968,2024,2,时间加权平均的股票相对价格位置,高频因子-收益分布类,,高频因子-收益分布类,高频因子,factors2024.md,40,75,1m,1d,T_close,open|high|low|close|volume|turnover,"RPP_{i,t} = \frac{(P_{i,t} - L_i)}{(H_i - L_i)}

ARPP_i = \int_0^T RPP_{i,t} \cdot dt \Rightarrow ARPP_{i,t} = \frac{\left( \int_0^T P_{i,t} \cdot dt - L_i \right)}{(H_i - L_i)}",(mean((open+high+low+close)/4)-low)/(high-low),exact,,intraday_path_metric,,,,{'metric': 'time_weighted_relative_price'},0
calendar2024_3_u6743_5229_8981_6c42_9879_9879_6570_5e73_5747,2024,3,权利要求项项数平均值,另类因子,,另类因子,另类因子,factors2024.md,76,91,1d,1d,T_close,patent,\text{mean}(\text{截止日前5年内新生成的有效的发明公开审查中专利的权利要求项项数}),,blocked_data,精确实现依赖当前数据审计未发现的数据域: patent,,,,,{},0
calendar2024_4_u6807_51c6_5316_8c03_6574_7684_8425_4e1a_5229,2024,4,标准化调整的营业利润,财务质量因子,,财务质量因子,财务质量因子,factors2024.md,92,118,1d,1d,T_close,fundamental_raw,\frac{\text{调整的营业利润}(TTM)\text{的当期值} - \text{mean}(\text{过去}T\text{期调整的营业利润}(TTM))}{\text{std}(\text{过去}T\text{期调整的营业利润}(TTM))},,blocked_data,精确实现依赖当前数据审计未发现的数据域: fundamental_raw,,,,,{},0
calendar2024_5_u9ad8_9891_4e0b_884c_6ce2_52a8_5360_6bd4,2024,5,高频下行波动占比,高频因子-波动跳跃类,,高频因子-波动跳跃类,高频因子,factors2024.md,119,138,1m,1d,T_close,close,\text{高频下行波动占比} = \frac{\sum_t (r_i^t I_{\{r_i^t < 0\}})^2}{\sum_t (r_i^t)^2},sum(r_1m**2 where r_1m<0)/sum(r_1m**2),exact,,intraday_return_measure,,alpha101/158/191/360:concept_overlap,concept_overlap,{'measure': 'down_share'},0
calendar2024_6_u4ef7_91cf_76f8_5173_6027_6ce2_52a8_6027_56e0,2024,6,价量相关性波动性因子,高频因子-量价相关性类,,高频因子-量价相关性类,高频因子,factors2024.md,139,163,1m,1d,T_close,open|high|low|close|volume|turnover|a_share_market_val_in_circulation,"PV\_corr = corr(v_t, p_t)","neutralize(std(corr(close_1m,volume_1m),20),log(float_market_cap))",exact,,intraday_path_metric,,alpha101/158/191/360:concept_overlap|research_report_factors:concept_overlap,concept_overlap,"{'metric': 'price_volume_corr', 'post_window': 20, 'post_stat': 'std', 'post_neutralize_market_cap': True}",20
calendar2024_7_u5355_5b63_5ea6_9500_552e_6536_5165_540c_6bd4,2024,7,单季度销售收入同比增长率,未分类,,,未分类,factors2024.md,164,183,1d,1d,T_close,fundamental_raw,\frac{最近单季度营业收入 - 上年同期值}{abs(上年同期值)},,blocked_data,精确实现依赖当前数据审计未发现的数据域: fundamental_raw,,,,,{},0
calendar2024_8_u6d41_52a8_6bd4_7387,2024,8,流动比率,杠杆因子,,杠杆因子,杠杆因子,factors2024.md,184,204,1d,1d,T_close,current_ratio_ttm,\frac{\text{最近报告期流动资产合计}}{\text{最近同期流动负债合计}},current_ratio_ttm,exact,供应商日频PIT衍生字段,alias:current_ratio_ttm,,,,{},0
calendar2024_9_u4e3b_52a8_4e70_5356_56e0_5b50,2024,9,主动买卖因子,高频因子-资金流类,,高频因子-资金流类,高频因子,factors2024.md,205,231,1m,1d,T_close,tick_trade,"ACT_{正向t} = \frac{主动买入金额(大单+中单) - 主动卖出金额(大单+中单)}{主动买入金额(大单 + 中单)+主动卖出金额(大单+中单)}

ACT_{负向t} = \frac{主动买入金额(小单)-主动卖出金额(小单)}{主动买入金额(小单) +主动卖出金额(小单)}",,blocked_data,精确实现依赖当前数据审计未发现的数据域: tick_trade,,,,,{},0
calendar2024_10_u53d8_52a8_901f_7387,2024,10,变动速率,技术因子,,技术因子,量价技术类,factors2024.md,232,246,1d,1d,T_close,close,"ROC = \frac{CLOSE - CLOSE[N]}{CLOSE[N]}

ROCMA = SMA(ROC, M)","100*(close-ts_delay(close,12))/(ts_delay(close,12)+1e-12)",exact,,legacy_expression,,,,{},12
