name,calendar_year,calendar_id,title,category,sub_category,raw_category,normalized_category,source_file,source_start_line,source_end_line,input_frequency,output_frequency,available_at,required_fields,original_formula,implemented_formula,implementation_status,implementation_notes,implementation_key,proxy_of,duplicate_refs,duplicate_type,default_params,warmup_requirement
calendar2026_1_1_1_u7ed3_6784_5316_53cd_8f6c,2026,1.1.1,结构化反转,高频因子,动量反转类,动量反转类,高频因子,factors2026.md,5,43,1m,1d,T_close,open|high|low|close|volume|turnover,"Rev_{mom} = \sum_{i=1}^{period_{mom}} w_i log \frac{Close_{t-i+1}}{Close_{t-i}}, w_i \propto \frac{1}{volume_i}

Rev_{rev} = \sum_{i=1}^{period_{rev}} w_i log \frac{Close_{t-i+1}}{Close_{t-i}}, w_i \propto volume_i

Rev_{struct} = Rev_{rev} - Rev_{mom}",volume_weighted_return(bottom10pct(volume_1m)),exact,,intraday_path_metric,,alpha101/158/191/360:concept_overlap,concept_overlap,{'metric': 'structured_reversal'},0
calendar2026_1_1_2_u6b8b_5dee_53cd_8f6c,2026,1.1.2,残差反转,高频因子,动量反转类,动量反转类,高频因子,factors2026.md,43,69,1m,1d,T_close,tick_trade,"S_t = \frac{\sum_{t-T}^{t} (buy_t - sell_t)}{\sum_{t-T}^{t} |buy_t - sell_t|}

Ret20_t = a + b * S_t + \varepsilon_t",,blocked_data,精确实现依赖当前数据审计未发现的数据域: tick_trade,,,alpha101/158/191/360:concept_overlap,concept_overlap,{},0
calendar2026_1_1_3_u5c3e_76d8_534a_5c0f_65f6_6536_76ca_7387,2026,1.1.3,尾盘半小时收益率,高频因子,动量反转类,动量反转类,高频因子,factors2026.md,69,99,1m,1d,T_close,close,"ret_{14:30-15:00,i} = \frac{close_{15:00,i}}{close_{14:30,i}} - 1",close(day_end)/close(day_end-30m)-1,exact,,intraday_period_return,,,,{'minutes': 30},0
calendar2026_1_1_4_u6bcf_7b14_6210_4ea4_91cf_7b5b_9009_7684_5c40,2026,1.1.4,每笔成交量筛选的局部反转,高频因子,动量反转类,动量反转类,高频因子,factors2026.md,99,129,1m,1d,T_close,tick_trade,\text{sum}\left(\left\text{ret}*i \middle| q_j(pvol_i) < pvol_i < q*{j+1}(pvol_i)\right\right),,blocked_data,精确实现依赖当前数据审计未发现的数据域: tick_trade,,,alpha101/158/191/360:concept_overlap,concept_overlap,{},0
calendar2026_1_1_5_u65e5_5185_9ec4_91d1_5206_5272_53cd_8f6c,2026,1.1.5,日内黄金分割反转,高频因子,动量反转类,动量反转类,高频因子,factors2026.md,129,157,1m,1d,T_close,open|high|low|close|volume|turnover,Ret_{10:00-to-close} = \sum_{t=1}^{20} \ln \left( \frac{Close_t}{Price_t^{10:00}} \right),"sum(log(close/price_10:00),20)",exact,,intraday_path_metric,,alpha101/158/191/360:concept_overlap,concept_overlap,"{'metric': 'golden_reversal', 'post_window': 20, 'post_stat': 'sum'}",20
calendar2026_1_1_6_u5927_5355_63a8_52a8_6da8_5e45,2026,1.1.6,大单推动涨幅,高频因子,动量反转类,动量反转类,高频因子,factors2026.md,157,197,1m,1d,T_close,tick_trade,"\prod_{n=t}^{t-T+1} \left( \text{prod} \left(1 + r_{i,j,n} \cdot I_{j \in IdxSet} \right) \right) - 1

\text{平均单笔成交金额} = \sum_{j=1}^{N} Amt_{i,j,n} / \sum_{j=1}^{N} TrdNum_{i,j,n}",,blocked_data,精确实现依赖当前数据审计未发现的数据域: tick_trade,,,,,{},0
calendar2026_1_1_7_u9694_591c_8df3_7a7a,2026,1.1.7,隔夜跳空,高频因子,动量反转类,动量反转类,高频因子,factors2026.md,197,225,1d,1d,T_close,open|close,absRet_{night} = \sum_{t=1}^{20} abs\left( \ln\left( \frac{Open_t}{Close_{t-1}} \right) \right),"ts_sum(ts_abs(ts_log(open/(ts_delay(close,1)+1e-12))),20)",exact,,legacy_expression,,,,{},21
calendar2026_1_1_8_u4fee_6b63_7684_65e5_5185_53cd_8f6c,2026,1.1.8,修正的日内反转,高频因子,动量反转类,动量反转类,高频因子,factors2026.md,225,258,1d,1d,T_close,open|close|a_share_market_val_in_circulation,① 对股票 i，计算 t 日的日内收益率 = t 日收盘价 / t 日开盘价 - 1；,"neutralize(ts_sum(close/open-1,20),log(float_market_cap))",exact,,legacy_expression,,alpha101/158/191/360:concept_overlap,concept_overlap,"{'base_expression': 'ts_sum(close/(open+1e-12)-1,20)', 'post_neutralize_market_cap': True}",20
calendar2026_1_1_9_u4fee_6b63_7684_9694_591c_53cd_8f6c,2026,1.1.9,修正的隔夜反转,高频因子,动量反转类,动量反转类,高频因子,factors2026.md,258,289,1d,1d,T_close,open|close|a_share_market_val_in_circulation,"① 对股票 i，计算 t 日的隔夜距离 = abs(t日隔夜收益率 - 横截面均值)；
上述因子是借助波动率对隔夜反转做修正，也可借助换手率距离来做修正，即换手距离 = abs(t日换手率变化量 - 其横截面均值) 低于其横截面均值，未来更可能发生动量，其中，换手率变化量 = t日换手率与t-1日换手率。","neutralize(ts_sum(open/lag(close)-1,20),log(float_market_cap))",exact,,legacy_expression,,alpha101/158/191/360:concept_overlap,concept_overlap,"{'base_expression': 'ts_sum(open/(ts_delay(close,1)+1e-12)-1,20)', 'post_neutralize_market_cap': True}",21
calendar2026_1_1_10_u4fe1_566a_6bd4_589e_5f3a_53cd_8f6c,2026,1.1.10,信噪比增强反转,高频因子,动量反转类,动量反转类,高频因子,factors2026.md,289,323,unknown,1d,T_close,,"\text{加强 } Reversal_i = Weight_i \times Reversal_i

Weight_i = \frac{SNR_i - \min(SNR)}{\max(SNR) - \min(SNR)}",,blocked_formula,源定义缺少唯一执行所需的窗口、阈值或标量输出，未擅自补默认值,,,alpha101/158/191/360:concept_overlap,concept_overlap,{},0
