name,calendar_year,calendar_id,title,category,sub_category,raw_category,normalized_category,source_file,source_start_line,source_end_line,input_frequency,output_frequency,available_at,required_fields,original_formula,implemented_formula,implementation_status,implementation_notes,implementation_key,proxy_of,duplicate_refs,duplicate_type,default_params,warmup_requirement
calendar2023_1_1_1_u516c_53f8_6cbb_7406_56e0_5b50,2023,1.1.1,公司治理因子,公司治理类,公司治理类,公司治理类,公司治理类,factors2023.md,6,24,1d,1d,T_close,shareholder,公司治理因子 = α₁第一大股东持股比例 + α₂第二至十大股东持股比例,,blocked_data,精确实现依赖当前数据审计未发现的数据域: shareholder,,,,,{},0
calendar2023_1_1_2_u516c_53f8_6cbb_7406_6307_6570,2023,1.1.2,公司治理指数,公司治理类,公司治理类,公司治理类,公司治理类,factors2023.md,24,33,unknown,1d,T_close,,,,blocked_formula,源文档未提供可执行的明确公式,,,,,{},0
calendar2023_2_1_1_u968f_673a_6307_6807,2023,2.1.1,随机指标,量价技术类,技术因子-超买超卖,技术因子-超买超卖,量价技术类,factors2023.md,35,48,1d,1d,T_close,high|low|close,"RSV = 100*(CLOSE-MIN(LOW,N))/(MAX(HIGH,N)-MIN(LOW,N))
K = SMA(RSV,M1,1)
D = SMA(K,M2,1)
J = 3\*K-2\*D
SMA(X,N,M)为加权移动平均: Y = (X\*M+Y\*(N-M))/N
默认: N = 9、M1 = 3、M2 = 3","(close - ts_min(low, 9)) / (ts_max(high, 9) - ts_min(low, 9) + 1e-12) * 100",exact,,legacy_expression,,alpha101/158/191/360:concept_overlap,concept_overlap,{},9
calendar2023_2_1_2_u5f02_540c_79bb_5dee_4e56_79bb_7387,2023,2.1.2,异同离差乖离率,量价技术类,技术因子-超买超卖,技术因子-超买超卖,量价技术类,factors2023.md,48,61,1d,1d,T_close,close,"BIAS = (CLOSE-SMA(CLOSE,N1))/SMA(CLOSE,N1)
DIF = BIAS-BIAS\[N2\]
DBCD = SMA(DIF,N3,1)
SMA(X,N,M)为加权移动平均: Y = (X\*M+Y\*(N-M))/N
默认: N1 = 5、N2 = 16、N3 = 17","ts_ema(((close-ts_mean(close,5))/(ts_mean(close,5)+1e-12))-ts_delay((close-ts_mean(close,5))/(ts_mean(close,5)+1e-12),16),17)",exact,,legacy_expression,,,,{},38
calendar2023_2_1_3_u4e56_79bb_7387,2023,2.1.3,乖离率,量价技术类,技术因子-超买超卖,技术因子-超买超卖,量价技术类,factors2023.md,61,70,1d,1d,T_close,close,"BIAS = 100*(CLOSE-SMA(CLOSE,N))/SMA(CLOSE,N)
默认: N = 6、12、24等","100*(close-ts_mean(close,6))/(ts_mean(close,6)+1e-12)",exact,,legacy_expression,,,,{},6
calendar2023_2_1_4_u52a8_6001_4e70_5356_6c14_6307_6807,2023,2.1.4,动态买卖气指标,量价技术类,技术因子-超买超卖,技术因子-超买超卖,量价技术类,factors2023.md,70,84,1d,1d,T_close,open|high|low,"DTM = IF(OPEN<OPEN\[1],0,MAX((HIGH-OPEN),(OPEN-OPEN\[1])))
DBM = IF(OPEN≥OPEN\[1],0,MAX((OPEN-LOW), OPEN-OPEN\[1])))
STM = SUM(DTM,N)
SBM = SUM(DBM,N)
ADTM = IF(STM>SBM,(STM-SBM)/STM,IF(STM=SBM,0, (STM-SBM)/SBM))
ADTMMMA = SMA(ADTM,M)
默认: N = 23、M = 8","ts_where(ts_sum(ts_where(open<ts_delay(open,1),0,ts_greater(high-open,open-ts_delay(open,1))),23)>ts_sum(ts_where(open>=ts_delay(open,1),0,ts_greater(open-low,open-ts_delay(open,1))),23),(ts_sum(ts_where(open<ts_delay(open,1),0,ts_greater(high-open,open-ts_delay(open,1))),23)-ts_sum(ts_where(open>=ts_delay(open,1),0,ts_greater(open-low,open-ts_delay(open,1))),23))/(ts_sum(ts_where(open<ts_delay(open,1),0,ts_greater(high-open,open-ts_delay(open,1))),23)+1e-12),(ts_sum(ts_where(open<ts_delay(open,1),0,ts_greater(high-open,open-ts_delay(open,1))),23)-ts_sum(ts_where(open>=ts_delay(open,1),0,ts_greater(open-low,open-ts_delay(open,1))),23))/(ts_sum(ts_where(open>=ts_delay(open,1),0,ts_greater(open-low,open-ts_delay(open,1))),23)+1e-12))",exact,,legacy_expression,,,,{},24
calendar2023_2_1_5_u53d8_52a8_901f_7387,2023,2.1.5,变动速率,量价技术类,技术因子-超买超卖,技术因子-超买超卖,量价技术类,factors2023.md,84,94,1d,1d,T_close,close,"ROC = (CLOSE-CLOSE\[N])/CLOSE\[N]
ROCMA = SMA(ROC,M)
默认: N = 12、M = 6","100*(close-ts_delay(close,12))/(ts_delay(close,12)+1e-12)",exact,,legacy_expression,,,,{},12
calendar2023_2_1_6_u76f8_5bf9_5f3a_5f31_6307_6807,2023,2.1.6,相对强弱指标,量价技术类,技术因子-超买超卖,技术因子-超买超卖,量价技术类,factors2023.md,94,109,1d,1d,T_close,close,"UM = IF(CLOSE-CLOSE\[1]>0,CLOSE-CLOSE\[1],0)
DM = IF(CLOSE-CLOSE\[1]<0,CLOSE\[1]-CLOSE,0)
UA(N) = (UA\[1]\*(N-1)+UM)/N
DA(N) = (DA\[1]\*(N-1)+DM)/N
RSI = 100*(UA/(UA+DA))
UA初始值 = SMA(UM,N)
DA初始值 = SMA(DM,N)
默认: N = 14","ta_rsi(close,14)",exact,,legacy_expression,,alpha101/158/191/360:concept_overlap,concept_overlap,{},14
calendar2023_2_1_7_u8d27_5e01_6d41_91cf_6307_6807,2023,2.1.7,货币流量指标,量价技术类,技术因子-超买超卖,技术因子-超买超卖,量价技术类,factors2023.md,109,123,1d,1d,T_close,high|low|close|volume,"TP = (HIGH+LOW+CLOSE)/3
MF = TP\*VOL
PF(N) = SUM(IF(TP>TP\[1],MF,0),N)
NF(N) = SUM(IF(TP<=TP\[1],MF,0),N)
MR(N) = PF(N)/NF(N)
MFI = 100-(100/(1+MR))
默认: N = 20","100-100/(1+ts_sum(ts_where((high+low+close)/3>ts_delay((high+low+close)/3,1),(high+low+close)/3*volume,0),20)/(ts_sum(ts_where((high+low+close)/3<=ts_delay((high+low+close)/3,1),(high+low+close)/3*volume,0),20)+1e-12))",exact,,legacy_expression,,,,{},21
calendar2023_2_1_8_u65b9_5411_6807_51c6_79bb_5dee_6307_6807,2023,2.1.8,方向标准离差指标,量价技术类,技术因子-超买超卖,技术因子-超买超卖,量价技术类,factors2023.md,123,139,1d,1d,T_close,high|low,"DMZ = IF(HIGH+LOW<=HIGH\[1]+LOW\[1],0,
DMF = IF(HIGH+LOW>HIGH\[1]+LOW\[1],0,
DIZ = SUM(DMZ,N)/(SUM(DMZ,N)+SUM(DMF,N))\*100
DIF = SUM(DMF,N)/(SUM(DMZ,N)+SUM(DMF,N))\*100
DDI = DIZ-DIF
若分母为 0，则令 DDI = 0
默认: N = 20","100*(ts_sum(ts_where(high+low<=ts_delay(high+low,1),0,ts_greater(ts_abs(high-ts_delay(high,1)),ts_abs(low-ts_delay(low,1)))),20)-ts_sum(ts_where(high+low>ts_delay(high+low,1),0,ts_greater(ts_abs(high-ts_delay(high,1)),ts_abs(low-ts_delay(low,1)))),20))/(ts_sum(ts_where(high+low<=ts_delay(high+low,1),0,ts_greater(ts_abs(high-ts_delay(high,1)),ts_abs(low-ts_delay(low,1)))),20)+ts_sum(ts_where(high+low>ts_delay(high+low,1),0,ts_greater(ts_abs(high-ts_delay(high,1)),ts_abs(low-ts_delay(low,1)))),20)+1e-12)",exact,,legacy_expression,,,,{},21
