name,calendar_year,calendar_id,title,category,sub_category,raw_category,normalized_category,source_file,source_start_line,source_end_line,input_frequency,output_frequency,available_at,required_fields,original_formula,implemented_formula,implementation_status,implementation_notes,implementation_key,proxy_of,duplicate_refs,duplicate_type,default_params,warmup_requirement
calendar2022_1_sentiment_beta,2022,1,Sentiment Beta,另类因子,,另类因子,另类因子,factors2022.md,8,37,1d,1d,T_close,sentiment_external,"r_t^i = \alpha^i + \beta^i * \left( \frac{CSMS_t}{CSMS_{t-1}} - 1 \right) + \varepsilon_t^i

NewSentiBeta = -1 * abs(SentiBeta)",,blocked_data,精确实现依赖当前数据审计未发现的数据域: sentiment_external,,,research_report_factors:concept_overlap,concept_overlap,{},0
calendar2022_2_u8d8b_52bf_56e0_5b50,2022,2,趋势因子,动量因子,,动量因子,动量因子,factors2022.md,38,82,unknown,1d,T_close,,"MA_{jt,L} = \frac{P_{j,d-L+1}^t + P_{j,d-L+2}^t + \ldots + P_{j,d-1}^t + P_{j,d}^t}{L}

M\tilde{A}_{jt,L} = \frac{MA_{jt,L}}{P_{jd}^t}

r_{j,t} = \beta_{0,t} + \sum_i \beta_{i,t} M\tilde{A}_{jt-1,L_i} + \varepsilon_{j,t}

\mathrm{E}_t [\beta_{i,t+1}] = \frac{1}{12} \sum_{m=1}^{12} \beta_{i,t+1-m}

\mathrm{E} [r_{i,t+1}] = \sum_i \mathrm{E}_t [\beta_{i,t+1}] M\tilde{A}_{jt,L_i}",,blocked_formula,源定义缺少唯一执行所需的窗口、阈值或标量输出，未擅自补默认值,,,,,{},0
calendar2022_3_u6210_4ea4_91cf_5360_6bd4,2022,3,成交量占比,未分类,,,未分类,factors2022.md,83,119,1m,1d,T_close,call_auction,"OCVP_t = \frac{1}{d} \sum_{i=1}^{d} w_{t-i} \left( \frac{\text{每日开盘前集合竞价阶段成交量}VOL_{call}}{\text{日内个股总成交量}VOL_{total}} \right)_{t-i}

BCVP_t = \frac{1}{d} \sum_{i=1}^{d} \left( \frac{\text{收盘前5分钟内个股成交量}VOL_{call}}{\text{日内个股总成交量}VOL_{total}} \right)_{t-i}

OBCVP_t = \alpha OCVP_t + (1 - \alpha) BCVP_t",,blocked_data,精确实现依赖当前数据审计未发现的数据域: call_auction,,,,,{},0
calendar2022_4_u8d28_91cf_56e0_5b50,2022,4,质量因子,未分类,,,未分类,factors2022.md,120,150,unknown,1d,T_close,,"\frac{Price}{BookValue} = \frac{Dividend/BookValue}{RequiredReturn - Growth}

= \frac{(Profit/BookValue) * (Dividend/Profit)}{RequiredReturn - Growth} = \frac{Profitability * PayoutRatio}{RequiredReturn - Growth}",,blocked_formula,源定义缺少唯一执行所需的窗口、阈值或标量输出，未擅自补默认值,,,,,{},0
calendar2022_5_u4e0b_884c_8d1d_5854,2022,5,下行贝塔,未分类,,,未分类,factors2022.md,151,175,1d,1d,T_close,close|market_ret,"\beta^{-} = \frac{\text{Cov}\left(r_i, r_m \mid r_m < \mu_m\right)}{\text{Var}\left(r_m \mid r_m < \mu_m\right)}","beta(return,market_return where market_return<0,252)",exact,,daily_rolling_risk,,,,"{'metric': 'downside_beta', 'window': 252, 'min_samples': 126}",253
calendar2022_6_u51c0_8d44_4ea7_6536_76ca_7387,2022,6,净资产收益率,未分类,,,未分类,factors2022.md,176,200,1d,1d,T_close,return_on_equity_ttm,"\frac{\text{最近12个月归属母公司净利润}(TTM)}{\text{平均净资产}}

\text{平均净资产} = \frac{\text{期初归属母公司股东权益合计} + \text{期末归属母公司股东权益合计}}{2}",return_on_equity_ttm,exact,供应商日频PIT衍生字段,alias:return_on_equity_ttm,,,,{},0
calendar2022_7_u8425_8fd0_8d44_672c_540c_6bd4_589e_901f,2022,7,营运资本同比增速,估值因子,,估值因子,估值因子,factors2022.md,201,227,1d,1d,T_close,working_capital_ttm|working_capital_lyr,"\frac{最近报告期营运资本 - 上年同期营运资本}{abs(上年同期营运资本)}

(流动资产合计 - 货币资金) - (流动负债合计 - 应付票据 - 一年内到期的非流动负债)",(working_capital_ttm-working_capital_lyr)/(ts_abs(working_capital_lyr)+1e-12),exact,,legacy_expression,,,,{},0
calendar2022_8_u5173_6ce8_5ea6_4fee_6b63_9884_671f_6536_76ca,2022,8,关注度修正预期收益率,未分类,,,未分类,factors2022.md,228,252,1d,1d,T_close,analyst,CTR = \text{Rank}(WTR) * \text{Rank}(C),,blocked_data,精确实现依赖当前数据审计未发现的数据域: analyst,,,,,{},0
calendar2022_9_u73b0_91d1_4e0e_603b_8d44_4ea7_6bd4,2022,9,现金与总资产比,无形资产因子,,无形资产因子,无形资产因子,factors2022.md,253,277,1d,1d,T_close,cash_equivalent_per_share_ttm|equity_ratio_ttm|book_value_per_share_ttm,"\frac{\text{最近12个月现金及现金等价物(TTM)}}{\text{平均总资产}}

\text{平均总资产} = \frac{\text{期初总资产} + \text{期末总资产}}{2}",cash_equivalent_per_share_ttm*equity_ratio_ttm/(book_value_per_share_ttm+1e-12),exact,,legacy_expression,,,,{},0
calendar2022_10_u80a1_4e1c_76c8_4f59_5e02_503c_6bd4,2022,10,股东盈余市值比,估值因子,,估值因子,估值因子,factors2022.md,278,302,1d,1d,T_close,fundamental_raw,\frac{\text{最近12个月的股东盈余(TTM)}}{\text{总市值}},,blocked_data,精确实现依赖当前数据审计未发现的数据域: fundamental_raw,,,,,{},0
